地区,,もやせるごみ,もやせないごみ,びん類・ペットボトル,プラスチック製容器包装,古紙類,粗大ごみ
（伊達町）志和田第一,,月 金,火1 火3,火2 火4,木,土3,20160406 20160608 20160803 20160928 20161130 20170208
（伊達町）志和田第二,,月 金,火1 火3,火2 火4,木,土3,20160406 20160608 20160803 20160928 20161130 20170208
（伊達町）殿町,,月 金,火1 火3,火2 火4,木,土3,20160406 20160608 20160803 20160928 20161130 20170208
（伊達町）諏訪野,,月 金,火1 火3,火2 火4,木,土3,20160406 20160608 20160803 20160928 20161130 20170208
（伊達町）山岸,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）原町,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）中部,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）上川原,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）原,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）滝前,,月 金,火1 火3,火2 火4,木,土3,20160413 20160615 20160810 20161005 20161207 20170215
（伊達町）川原町,,月 金,火1 火3,火2 火4,木,土3,20160420 20160622 20160817 20161012 20161214 20170222
（伊達町）田町,,月 金,火1 火3,火2 火4,木,土3,20160420 20160622 20160817 20161012 20161214 20170222
（伊達町）南堀,,月 金,火1 火3,火2 火4,木,土3,20160420 20160622 20160817 20161012 20161214 20170222
（伊達町）中央,,月 金,火1 火3,火2 火4,木,土3,20160420 20160622 20160817 20161012 20161214 20170222
（伊達町）新道,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）箱沖,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）箱崎団地,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）宮本,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）南西,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）南東,,月 金,火1 火3,火2 火4,木,土3,20160427 20160629 20160824 20161019 20161221 20170301
（伊達町）長岡,,月 金,火1 火3,火2 火4,木,土3,201600511 20160706 20160831 20161026 20170111 20170308
（伊達町）東町,,月 金,火1 火3,火2 火4,木,土3,201600511 20160706 20160831 20161026 20170111 20170308
（伊達町）北,,月 金,火1 火3,火2 火4,木,土3,201600518 20160713 20160907 20161102 20170118 20170315
（伊達町）伏沖,,月 金,火1 火3,火2 火4,木,土3,201600518 20160713 20160907 20161102 20170118 20170315
（伊達町）平,,月 金,火1 火3,火2 火4,木,土3,201600518 20160713 20160907 20161102 20170118 20170315
（伊達町）上ケ戸,,月 金,火1 火3,火2 火4,木,土3,201600518 20160713 20160907 20161102 20170118 20170315
（伊達町）駅南,,月 金,火1 火3,火2 火4,木,土3,201600525 20160720 20160914 20161109 20170125 20170322
（伊達町）駅一,,月 金,火1 火3,火2 火4,木,土3,201600525 20160720 20160914 20161109 20170125 20170322
（伊達町）駅東,,月 金,火1 火3,火2 火4,木,土3,201600525 20160720 20160914 20161109 20170125 20170322
（伊達町）根田,,月 金,火1 火3,火2 火4,木,土3,201600525 20160720 20160914 20161109 20170125 20170322
（伊達町）北一,,月 金,火1 火3,火2 火4,木,土3,201600601 20160727 20160921 20161116 20170201 20170329
（伊達町）北二,,月 金,火1 火3,火2 火4,木,土3,201600601 20160727 20160921 20161116 20170201 20170329
（伊達町）生協団地,,月 金,火1 火3,火2 火4,木,土3,201600601 20160727 20160921 20161116 20170201 20170329
